i,A,C,required_margin,required_argmin_y,stored_margin,stored_argmin_y,abs_margin_diff,abs_argmin_y_diff,num_check_points,d0,w0,pi0,d1,w1,pi1,d2,w2,pi2,d3,w3,pi3
17,1.8141516517857141,1.8139561607142856,1.0358643189878336e-05,2.6844600135326857,1.0358643189878336e-05,2.684460013546905,0.0,1.4219292410189155e-11,5,1.8174751,2.2080750092137778,17,2.557935,0.0,17,2.675015475,0.0,17,2.784490575,0.2920250230079325,17
18,1.8139561607142856,1.813760669642857,0.0001896472122178139,2.6850815185704207,0.0001896472122179249,2.6850815185640005,1.1102230246251565e-16,6.420197706802355e-12,5,1.8174751,2.219882598592576,18,2.557935,0.0,18,2.675015475,0.0,18,2.784490575,0.2913735882714621,18
19,1.8137606696428572,1.8135651785714286,0.00036640684026612025,2.685703473327181,0.00036640684026623127,2.685703473348247,1.1102230246251565e-16,2.106581575844757e-11,5,1.8174751,2.2318158270086506,19,2.557935,0.0,19,2.6750154750000004,0.0,19,2.784490575,0.29071878319934596,19
20,1.8135651785714286,1.8133696875,0.0005405868439559702,2.686325878690438,0.0005405868439560813,2.686325878672628,1.1102230246251565e-16,1.780975367182691e-11,5,1.8174751,2.2438768225380343,20,2.557935,0.0,20,2.6750154750000004,0.0,20,2.784490575,0.2900605649036477,20
21,1.8133696875,1.8131741964285715,0.0007121352893999511,2.6869487355507102,0.0007121352893998401,2.6869487355640307,1.1102230246251565e-16,1.3320455849452628e-11,5,1.8174751,2.2560677628682444,21,2.557935,0.0,21,2.6750154750000004,0.0,21,2.784490575,0.2893988896494985,21
22,1.8131741964285715,1.812978705357143,0.0008809989538313134,2.6875720448016045,0.0008809989538312024,2.687572044782363,1.1102230246251565e-16,1.9241497284383513e-11,5,1.8174751,2.2683908767756256,22,2.557935,0.0,22,2.6750154750000004,0.0,22,2.784490575,0.288733712832564,22
23,1.812978705357143,1.8127832142857143,0.0010471232857255375,2.688195807339806,0.0010471232857255375,2.6881958073400645,0.0,2.5845992013273644e-13,5,1.8174751,2.280848445655235,23,2.557935,0.0,23,2.6750154750000004,0.0,23,2.784490575,0.2880649889557893,23
24,1.8127832142857143,1.8125877232142857,0.0012104523635111386,2.68882002406513,0.0012104523635112496,2.688820024057134,1.1102230246251565e-16,7.996270312560227e-12,5,1.8174751,2.293442805108002,24,2.557935,0.0,24,2.6750154750000004,0.0,24,2.784490575,0.2873926716053158,24
25,1.8125877232142857,1.8123922321428572,0.0013709288526593255,2.689444695880507,0.0013709288526591035,2.6894446958842138,2.220446049250313e-16,3.706812634618473e-12,5,1.8174751,2.3061763465848077,25,2.557935,0.0,25,2.6750154750000004,0.0,25,2.784490575,0.28671671342563954,25
26,1.8123922321428572,1.8121967410714286,0.0015284939612105752,2.6900698236920357,0.0015284939612104642,2.690069823678949,1.1102230246251565e-16,1.3086864925071495e-11,5,1.8174751,2.319051519092837,26,2.557935,0.0,26,2.6750154750000004,0.0,26,2.784490575,0.2860370660938681,26
27,1.8121967410714286,1.81200125,0.0016830873935771429,2.690695408408982,0.0016830873935769208,2.690695408423675,2.220446049250313e-16,1.4693135597099172e-11,5,1.8174751,2.3320708309644687,27,2.557935,0.0,27,2.6750154750000004,0.0,27,2.784490575,0.28535368029314157,27
