i,required_margin,required_argmin_y,num_check_points,stored_margin
0,0.001063903055796502082749977225417034728916192480992702375489566307340344923310280469510403,2.68695298909313255292674248764081075712814562925486266305359103429507407441354115728401887,5,0.0010639030557959561
1,0.02232794041916103576105236942394330472016297044923151196974747474137188593804977847340840,2.81518208347236130428459002172654077162096556913290873998562112418252261335217811772982130,5,0.022327940419158754
2,0.020108238375801501743856103144087603708388800436194235703525692106864085218372989358215998,2.81409746375592540696404334032161616883326799145799897514344704474545891667214019951698274,5,0.020108238375799337
3,0.018042740267934860292644610304227222566125075155378183228100592967706937576939002246223951,2.81301034307696789183485157015487244823084261816725395890055699467896225584103820455617138,5,0.018042740267932844
4,0.016108855672662590101055287963758533853978392020054158448620964634826884029372073943283218,2.81198205873221430744649136947896105331635181341896398076087883776838864323847103826104785,5,0.016108855672660516
5,0.014288898977731482951762787587492900943327449752371104768413679712293180614520648872429406,2.81098864343458199469762169739350208666977654571517230581385058170598465746441435161146116,5,0.01428889897772967
6,0.012568709546583929696291171274040809184552862934001626027787323766488422257784412694365563,2.81000148205564184987342553064674943380554797843288157705630628290229775516699811556330985,5,0.012568709546582069
7,0.010936749061220443442611601859648605562796943689241639069849365551872683360874256480297957,2.80902349291481764672463720947955397110165812916646987071445623851842511386362605290094926,5,0.010936749061218665
8,0.009383502608692408020815068228196481324224035774056638256550244378959719894601763130933388,2.80809416410510168356436924413957632622707501245961976545459328496287526761397319183854145,5,0.00938350260869103
9,0.007900948864759802403288386206443841672553334103523729727168370834619384087493213664244349,2.80718140472415553068594178041148310353574567520026543484858168609830704737373914410777918,5,0.00790094886475834
10,0.006482352889307603230527940355088272118299514302429339253564402983047472772928248922333815,2.80624937398951224607852663056256934505405723240926749204554582965261915491115757601914252,5,0.006482352889305876
11,0.005121896925046615650827503533848943360980952932898931141128328734231058416442490344457526,2.80537665293191790074811702491222218381343201523695213927964229207448391072409164672557146,5,0.005121896925045055
12,0.003814616041578110305943628913849457261084182271989950504348732718267195524855190991070690,2.80448816060993502444145533992337008456805492070760442911120081186801897464912294094232772,5,0.003814616041576624
13,0.002556146300211231712038921471749343683095637573382984662393454508417334801761243046047004,2.80362470208276478036450079216051236258346146424018810521648606819014480717474585965750114,5,0.0025561463002099494
14,0.001342699570222026733654478667140902537865367223494128088723708981790949007728278287759819,2.80274706810686493525301484989749383339913905948627338869084855378647126631204043735028690,5,0.0013426995702208178
15,0.000170914152194827579427361585931849085530465978870623205191549046889093425964213953509160,2.80189759786442470861492116035460471229643054611363248722635901378782769093173943032735464,5,0.00017091415219350203
16,0.003865933548770662611160834901960040885179441839111627167970600017847914806608713530462810,2.80059840522295619352021395423073355689600881324657298670473541996496100705254248961354464,5,0.003865933548770073
17,0.000010358643190116793036501585499580814306846811518009902831589162468040613165335893335360,2.68446001353268591378371388930056938902787306219331879872780792916448002180482809853186226,5,0.000010358643189878336
18,0.000189647212218015086531891303451884405872895659626985834598085403067711694448898080768362,2.68508151857042100108722660086863608911498626229980162494174809489611294683694963454515790,5,0.0001896472122179249
19,0.000366406840266368299735280710379990260833391088907091698786097670675555697961556883769443,2.68570347332718097788551629788458432020929688147617105224332324251490399244406469689313068,5,0.00036640684026623127
20,0.000540586843956200429217561875792843047850268221925728736156504875650134221504460480251730,2.68632587869043746753621112223700649622172535084423659418665380080711487326380072329504772,5,0.0005405868439560813
21,0.000712135289400051790404979596529886030700345469785053369523000258118204500158217693344182,2.68694873555071001460421907811266497746227536335680981855721404723261263378155833601744838,5,0.0007121352893998401
22,0.000880998953831487092789213975045092052511054405225483425887996894033899639145011994922106,2.68757204480160473487368481366322002276025548239381551911386768165457904447861113192257048,5,0.0008809989538312024
23,0.001047123285725651883178765667225475213126162939463276008597861493561352103947323473530267,2.68819580733980625979436182239570259974406036340440411663847170234744529258608024624602128,5,0.0010471232857255375
24,0.001210452363511436710457972038155594098120637391500420695843823190226018919434431321414607,2.68882002406512961120661432970365306393874807155861239816485381648459109809756495377765354,5,0.0012104523635112496
25,0.001370928852659393137219761355539513893196251084710264258297201401035703042818654478271200,2.68944469588050663315397252313712720978611922963437558614587394291703533199997759138578716,5,0.0013709288526591035
